node_id_from	node_id_to	weight
299206169	298728285	0.000298
1253231909	1253231911	0.000298
159798324	159798351	0.000298
159404928	159404932	0.000298
159869918	159870011	0.000299
159898655	159898829	0.000299
87384479	159739431	0.000299
159869788	159870436	0.000299
298728296	298728295	0.000299
159914884	159915223	0.000300
298728282	298728280	0.000300
298728288	298728292	0.000300
159861823	159861733	0.000300
290627718	290627717	0.000300
140964569	140964554	0.000300
290470365	290470361	0.000300
299206232	299206234	0.000301
159914575	159914793	0.000301
159799983	159798178	0.000301
791371726	791371725	0.000301
140964464	140964650	0.000302
288186211	159870568	0.000302
141898883	141898878	0.000302
159861760	159861792	0.000302
141903954	141903937	0.000302
1425417370	1425417552	0.000302
159858672	159858982	0.000302
299206179	299206178	0.000303
274196149	274013620	0.000303
99304167	99304237	0.000303
159491502	1272718697	0.000304
1425417561	1425417560	0.000304
98670956	167567734	0.000304
159870618	159869809	0.000304
160908906	160909267	0.000304
1268039033	1268039034	0.000304
159870744	159869465	0.000305
99304074	99304076	0.000305
159950483	159950648	0.000305
284155568	159898370	0.000306
140964523	140964498	0.000306
278023541	100271918	0.000306
159870657	159870535	0.000306
140964509	140964468	0.000306
159869879	159869465	0.000307
140964641	140964444	0.000307
159870594	159870550	0.000307
301737434	301737433	0.000307
1264822887	291711137	0.000307
159950626	159950516	0.000308
140964652	140964455	0.000308
159870432	159870730	0.000308
159950495	159950422	0.000309
159870720	159870811	0.000309
298728281	298728280	0.000309
159869463	159869577	0.000309
159869813	159869995	0.000310
1285445548	1285445549	0.000310
159869449	159870762	0.000310
140964535	140964450	0.000310
159372004	159372281	0.000310
89934565	89934562	0.000310
159870432	159870360	0.000310
290470345	159950431	0.000311
94513149	726023816	0.000311
159883830	159884084	0.000311
89934566	89934562	0.000312
159371830	159372004	0.000312
159799940	159799956	0.000312
159869467	159870727	0.000312
159861869	159861890	0.000312
140964454	140964498	0.000312
301736764	301736763	0.000313
159798273	159798248	0.000313
1083068618	87399408	0.000313
288189793	159870727	0.000313
87384298	272987592	0.000313
159544130	159544300	0.000313
141903937	159898718	0.000313
993853417	993853416	0.000313
159898664	1285445535	0.000313
159192662	159192890	0.000314
312017176	100271800	0.000314
284959160	289854597	0.000314
140964616	140964499	0.000314
298941984	1253231907	0.000314
141903956	791385089	0.000314
159869698	159870197	0.000314
1425417372	1425417373	0.000315
298728307	298728308	0.000315
159869639	159870048	0.000315
140964374	140964490	0.000315
1425417373	1425417374	0.000315
297845531	297845530	0.000315
140964641	140964629	0.000316
141903961	141903929	0.000316
291711138	938067162	0.000316
298965199	298965198	0.000316
278023529	278023527	0.000316
159798269	159798290	0.000317
160917358	160916876	0.000317
1253231904	1253231905	0.000317
159870171	159870241	0.000317
159870335	159870226	0.000317
301737103	301737101	0.000317
159870450	159870224	0.000317
159869839	159869676	0.000318
159870718	159870657	0.000318
159870589	159869947	0.000318
140964554	140964374	0.000318
159798177	159798157	0.000319
283924639	159950564	0.000319
159861704	159861758	0.000319
159869763	159870159	0.000319
1268039034	1268039031	0.000319
299210219	299210222	0.000319
159861892	159861981	0.000319
160172682	89060173	0.000319
1425431369	301737370	0.000319
287517643	287517641	0.000319
278023537	278023538	0.000320
159799983	159798200	0.000320
159537147	159537223	0.000320
284971133	159935478	0.000320
159898170	159898198	0.000320
791447357	159950545	0.000320
13187602	13187601	0.000320
141903988	141903953	0.000320
1268874954	1268874957	0.000321
287702366	287702384	0.000321
159936156	159936151	0.000322
284155568	159898303	0.000322
160916965	160916733	0.000322
289854598	301736396	0.000322
99304236	99304110	0.000322
284160780	159919798	0.000323
159870324	159870594	0.000323
1285411595	1285411592	0.000323
288174890	159870344	0.000323
284157384	159898685	0.000323
159884451	159883997	0.000323
159870479	159870381	0.000324
159870031	288189796	0.000324
140964419	140964450	0.000324
159870235	159870459	0.000324
102806028	102805912	0.000324
278023539	278023540	0.000324
160916760	160916796	0.000324
301736979	301736980	0.000324
160916915	160917035	0.000325
288162640	288174892	0.000325
159870720	159870760	0.000325
87366473	87366432	0.000325
160909079	160909113	0.000325
287517660	287517661	0.000325
284958192	284959348	0.000325
159862175	159861701	0.000325
299206229	299206227	0.000325
103628971	103628956	0.000326
159870362	159870166	0.000326
159798170	159798141	0.000326
141903982	159800066	0.000326
159898241	159898713	0.000326
159870471	159870700	0.000326
159869571	159870636	0.000327
159869826	159870170	0.000327
141898881	141898882	0.000327
1267299918	1267299921	0.000327
160038979	160038239	0.000327
140964368	140964607	0.000327
159870280	159870325	0.000327
48958393	48958424	0.000327
159869449	159870757	0.000328
87384475	271041450	0.000328
1285445536	1285445535	0.000328
159898507	159898301	0.000328
159869839	159869733	0.000329
160908817	160908976	0.000329
99304210	99304171	0.000329
160917005	160916890	0.000329
13187600	13187601	0.000330
159404928	159404615	0.000330
301736982	301736981	0.000330
159870527	159870421	0.000330
15009708	15009707	0.000330
160172674	160172155	0.000330
141903942	141903980	0.000331
159870608	159870384	0.000331
140964563	140964454	0.000332
87384139	1267300061	0.000332
159870201	159870325	0.000332
291098829	291098827	0.000333
159799865	159799911	0.000333
159950502	159950483	0.000333
141900317	284161428	0.000333
1268874950	1268874951	0.000333
917185518	1284770118	0.000334
1268039036	1268039033	0.000334
301736601	301736728	0.000334
159869813	159870733	0.000334
159950474	159950614	0.000334
140964435	140964384	0.000334
159862148	159862189	0.000334
301736915	301736980	0.000334
140964459	159800047	0.000335
100421374	273911549	0.000335
296984731	160917066	0.000335
140964475	140964366	0.000335
159870344	159870400	0.000335
859468990	1206106642	0.000336
159798367	159798200	0.000336
140964488	140964642	0.000336
299206224	299206222	0.000336
